Step,Capacitance_pF,MinDistance_mm,MaxDistance_mm,Area_mm2,Hits,Misses,Translation_X,Translation_Y,Translation_Z
0,49.5953,0.207088,6.01539,1159.99,3668,9390,-0.0137036,-0.0128181,-0.0454446
1,43.7061,0.234052,6.01481,1155.35,3668,9390,-0.0136852,-0.0132696,0.0107676
2,53.4376,0.191414,6.01808,1155.27,3668,9390,-0.0136713,-0.0137289,0.0669773
3,54.7193,0.187775,9.6937,1160.48,3672,9386,-0.0137224,0.000463466,-0.0562267
4,43.3104,0.236204,6.01928,1155.42,3668,9390,-0.0137062,8.3878e-06,-1.37876e-05
5,47.7497,0.214144,7.5583,1154.88,3667,9391,-0.0136944,-0.000454665,0.0561968
6,62.1222,0.165403,6.02048,1160.51,3673,9385,-0.0137386,0.0137494,-0.0670026
7,48.3478,0.212499,6.02372,1160.36,3672,9386,-0.0137246,0.0132907,-0.0107889
8,44.3178,0.23075,6.02703,1154.99,3669,9389,-0.013715,0.012824,0.0454226
9,46.7661,0.219614,9.79416,1159.98,3668,9390,3.79667e-07,-0.0128252,-0.0454351
10,45.5887,0.224486,6.00349,1155.87,3670,9388,2.25398e-05,-0.0132788,0.0107779
11,57.3736,0.178282,9.23046,1155.26,3668,9390,4.02614e-05,-0.0137404,0.0669886
12,51.0817,0.201066,6.0026,1160.02,3669,9389,-2.00042e-05,0.00045726,-0.0562139
13,41.0133,0.249345,6,1155.01,3667,9391,0,0,0
14,50.9231,0.200778,9.45864,1154.76,3666,9392,1.55942e-05,-0.000465232,0.0562115
15,57.5086,0.178658,6.00129,1160.42,3672,9386,-3.78536e-05,0.0137441,-0.0669863
16,45.735,0.224615,6.00446,1160.24,3670,9388,-2.00197e-05,0.0132832,-0.0107716
17,46.5683,0.219592,9.3031,1154.96,3668,9390,-6.56713e-06,0.0128143,0.0454407
18,44.5286,0.230661,7.34763,1160.04,3668,9390,0.0137043,-0.0128323,-0.0454311
19,48.1928,0.212348,7.938,1155.82,3671,9387,0.0137303,-0.0132881,0.0107829
20,61.9592,0.165082,7.28109,1155.23,3667,9391,0.0137519,-0.0137519,0.0669945
21,47.9286,0.214306,6.85708,1160.08,3669,9389,0.0136824,0.000451056,-0.0562063
22,43.3392,0.236068,9.06422,1155.52,3669,9389,0.0137062,-8.38881e-06,8.43401e-06
23,54.5495,0.18743,5.98812,1154.76,3666,9392,0.0137256,-0.000475803,0.0562209
24,53.6595,0.191479,5.98981,1160.46,3673,9385,0.0136629,0.0137388,-0.0669753
25,43.9392,0.233895,7.39069,1160.74,3672,9386,0.0136846,0.0132757,-0.0107597
26,93.712,0.109832,9.64634,1162.48,3686,9372,0.00916382,0.0261591,-0.0127504
27,132.847,0.0777312,9.14085,1166.29,3686,9372,-0.0141358,0.0133683,-0.0582499
28,121.91,0.0847047,8.79491,1166.29,3686,9372,-0.0237521,0.0133888,-0.0582625
29,73.473,0.139953,8.70033,1161.37,3678,9380,0.00958401,0.013324,-0.0581334
30,69.9561,0.146978,7.80464,1161.28,3677,9381,-3.23755e-05,0.0133445,-0.0581488
31,66.7596,0.154015,6.56012,1161.28,3677,9381,-0.00964876,0.013365,-0.0581638
32,49.4471,0.207989,6.58276,1161.56,3675,9383,0.0236871,0.0132998,-0.0581184
33,47.8889,0.214698,6.75518,1161.24,3675,9383,0.0140707,0.0133203,-0.0581362
34,46.4811,0.22111,8.39966,1160.77,3674,9384,0.00445437,0.0133407,-0.0581535
35,59.4333,0.172978,9.4636,1161.13,3679,9379,-0.00450924,1.64769e-05,-5.15706e-05
36,57.0698,0.180137,9.80764,1161.1,3678,9380,-0.0141235,3.57539e-05,-6.41858e-05
37,54.8814,0.187305,9.27546,1161.01,3677,9381,-0.0237378,5.50286e-05,-7.63478e-05
38,42.1991,0.242338,7.54153,1155.01,3667,9391,0.00961429,-1.9276e-05,1.50164e-05
39,41.0133,0.249345,6,1155.01,3667,9391,0,0,0
40,42.2414,0.242204,6.012,1155.52,3669,9389,-0.00961429,1.92736e-05,-1.45641e-05
41,54.6533,0.187207,9.41372,1155.58,3672,9386,0.0237378,-5.50402e-05,-6.67021e-06
42,56.8695,0.179917,9.94465,1155.61,3673,9385,0.0141236,-3.57889e-05,-2.41064e-05
43,59.2733,0.172607,9.00853,1155.52,3672,9386,0.00450935,-1.65399e-05,-4.10913e-05
44,46.1655,0.221359,6.01866,1154.18,3667,9391,-0.00447387,-0.0132714,0.0581678
45,47.5477,0.2149,6.02518,1154.05,3665,9393,-0.014086,-0.0132534,0.0581556
46,49.0758,0.208208,6.03171,1154.05,3665,9393,-0.0236982,-0.0132353,0.0581439
47,66.2665,0.154407,8.24598,1155.63,3670,9388,0.00966987,-0.0133188,0.0581977
48,69.5349,0.147149,9.30543,1155.63,3670,9388,5.77341e-05,-0.0133008,0.0581831
49,73.1483,0.139869,8.31131,1155.54,3669,9389,-0.00955439,-0.0132827,0.0581689
50,119.209,0.0858207,8.27372,1155.48,3669,9389,0.023814,-0.0133659,0.0581395
51,130.4,0.0784556,8.68592,1155.48,3669,9389,0.0142019,-0.0133479,0.0581224
52,143.948,0.0710713,9.04928,1155.48,3669,9389,0.00458985,-0.0133298,0.0581058
53,41.0133,0.249345,6,1155.01,3667,9391,0,0,0
