Step,Capacitance_pF,MinDistance_mm,MaxDistance_mm,Area_mm2,Hits,Misses,Translation_X,Translation_Y,Translation_Z
0,50.3092,0.204165,6.01627,1160.08,3669,9389,-0.0132422,-0.0140386,-0.0521615
1,43.5617,0.234846,6.01383,1155.44,3669,9389,-0.0135658,-0.0138045,0.00393835
2,52.4197,0.195045,9.11503,1154.76,3666,9392,-0.013894,-0.0135783,0.0600383
3,46.8718,0.219131,6.01852,1160.05,3670,9388,-0.0130505,-0.000416638,-0.0467745
4,44.0692,0.232098,6.01604,1155.22,3666,9392,-0.0133724,-0.000181082,0.00932827
5,55.5286,0.184111,6.01374,1154.67,3665,9393,-0.013699,4.66635e-05,0.0654311
6,45.1629,0.227551,9.35119,1160.7,3673,9385,-0.0128578,0.0132063,-0.0413908
7,47.165,0.216867,7.97186,1155.25,3669,9389,-0.0131782,0.0134433,0.0147149
8,59.9037,0.170695,6.01583,1154.88,3664,9394,-0.0135032,0.0136726,0.0708206
9,54.8105,0.187478,6.00017,1160.58,3669,9389,0.000132881,-0.0138522,-0.0614935
10,44.3022,0.230867,6.00323,1155.18,3668,9390,-0.000192142,-0.0136216,-0.00539186
11,48.3563,0.211456,6.00701,1154.87,3667,9391,-0.000521875,-0.0133988,0.0507098
12,50.9297,0.201666,9.16937,1160.02,3669,9389,0.000323402,-0.000232127,-0.0561046
13,41.0133,0.249345,6,1155.01,3667,9391,0,0,0
14,50.779,0.201347,9.51259,1154.76,3666,9392,-0.000328119,0.000224309,0.0561046
15,48.4466,0.212088,7.45662,1160.49,3674,9384,0.000514799,0.0133889,-0.0507189
16,44.274,0.231036,8.16024,1155.29,3668,9390,0.000193012,0.0136226,0.00538856
17,54.4526,0.187734,6.0005,1154.57,3664,9394,-0.000133501,0.0138484,0.061496
18,60.383,0.1702,5.98946,1160.74,3672,9386,0.0135097,-0.0136624,-0.0708222
19,47.4528,0.216582,5.99321,1160.77,3669,9389,0.0131832,-0.0134352,-0.0147188
20,45.0909,0.226747,7.49159,1154.75,3669,9389,0.0128519,-0.0132159,0.0413847
21,55.7622,0.184204,5.98633,1160.11,3670,9388,0.013699,-4.41668e-05,-0.0654313
22,44.2661,0.232067,5.98999,1160.23,3668,9390,0.0133741,0.000184541,-0.00932498
23,46.7882,0.218538,9.04923,1154.84,3666,9392,0.0130445,0.000405422,0.0467814
24,52.5685,0.195433,5.9886,1160.33,3671,9387,0.0138891,0.0135751,-0.0600437
25,43.536,0.23489,5.98676,1154.98,3668,9390,0.0135658,0.0138053,-0.00393449
26,173.5,0.0589331,7.38249,1154.83,3664,9394,-0.00470279,0.0193418,0.131628
27,97.8788,0.104477,8.33001,1154.97,3666,9392,-0.0131435,0.0136543,0.0794935
28,96.3601,0.106116,6.73857,1154.88,3665,9393,-0.00833349,0.0220094,0.0795073
29,56.5743,0.180855,7.26629,1155.61,3669,9389,-0.00443884,0.00558015,0.0290475
30,56.0732,0.182471,7.19846,1155.61,3669,9389,0.000371751,0.013935,0.0290642
31,56.2056,0.182046,7.4209,1155.64,3670,9388,0.00518234,0.0222899,0.0290808
32,43.1997,0.237901,8.65287,1160.74,3670,9388,0.00908998,0.00589753,-0.0213413
33,44.5695,0.230584,5.98909,1160.72,3671,9387,0.0139012,0.0142521,-0.0213218
34,46.1719,0.222484,5.98352,1160.21,3671,9387,0.0187124,0.0226066,-0.0213024
35,60.8786,0.168078,8.58939,1155.68,3671,9387,-0.0183392,-0.00865356,0.0504394
36,59.7688,0.171181,6.02266,1155.55,3669,9389,-0.0135288,-0.000298575,0.0504547
37,59.0908,0.173089,6.97791,1155.18,3667,9391,-0.00871849,0.00805641,0.0504701
38,42.4723,0.240791,6.00556,1155.07,3667,9391,-0.00481094,-0.00835467,-1.82729e-05
39,41.0133,0.249345,6,1155.01,3667,9391,0,0,0
40,42.4831,0.240795,6.08866,1155.38,3669,9389,0.00481094,0.00835467,1.82727e-05
41,59.7538,0.172094,6.00206,1161.43,3672,9386,0.00873175,-0.00801966,-0.0504326
42,60.3456,0.170426,9.63426,1161.56,3676,9382,0.0135433,0.000334648,-0.0504115
43,61.2133,0.167953,8.62538,1161.16,3675,9383,0.0183548,0.00868896,-0.0503904
44,45.9405,0.222674,6.02156,1155.38,3669,9389,-0.0187138,-0.0225977,0.0213561
45,44.3508,0.230649,6.0177,1155.35,3668,9390,-0.0139031,-0.0142429,0.0213731
46,43.0101,0.237839,9.9649,1155.35,3668,9390,-0.00909241,-0.0058881,0.0213901
47,56.6255,0.181542,9.26766,1161.04,3672,9386,-0.005172,-0.0222812,-0.0291271
48,56.5956,0.181629,8.78443,1160.99,3672,9386,-0.000360725,-0.0139267,-0.0291071
49,56.8675,0.180696,8.35552,1160.57,3673,9385,0.00445055,-0.00557225,-0.0290872
50,98.917,0.104311,9.53797,1165.37,3680,9378,0.00838448,-0.0219288,-0.079567
51,99.8188,0.103342,9.31897,1165.06,3680,9378,0.0131963,-0.0135747,-0.0795442
52,101.324,0.101806,9.1134,1165.06,3680,9378,0.0180081,-0.00522062,-0.0795214
53,41.0133,0.249345,6,1155.01,3667,9391,0,0,0
