Step,Capacitance_pF,MinDistance_mm,MaxDistance_mm,Area_mm2,Hits,Misses,Translation_X,Translation_Y,Translation_Z
0,61.9113,0.165998,6.11873,1160.74,3672,9386,-0.0135995,-0.0136037,-0.0707918
1,48.2964,0.212799,7.02,1160.77,3669,9389,-0.0131808,-0.0134019,-0.0147151
2,44.4644,0.229941,8.54496,1154.75,3669,9389,-0.0127667,-0.0132081,0.0413638
3,54.2197,0.189523,6.373,1160.59,3671,9387,-0.0137946,-6.84111e-06,-0.0654083
4,43.078,0.237507,6.01445,1155.56,3668,9390,-0.0133715,0.000194904,-0.00933043
5,48.0048,0.212999,6.11938,1154.84,3666,9392,-0.0129529,0.000388668,0.0467497
6,49.0224,0.209597,6.0215,1160.49,3674,9384,-0.0139877,0.0135903,-0.0600253
7,44.0576,0.232199,6.01831,1155.43,3668,9390,-0.0135601,0.013792,-0.0039463
8,53.8932,0.189703,6.0152,1154.7,3666,9392,-0.0131372,0.0139857,0.052135
9,57.734,0.177912,6.00388,1160.1,3668,9390,-0.0002299,-0.0138044,-0.0614548
10,45.7453,0.223584,9.92885,1155.18,3668,9390,0.00018877,-0.0135983,-0.00537791
11,46.407,0.220363,6.0099,1155,3669,9389,0.000602781,-0.0134001,0.0507013
12,50.9636,0.201532,8.95749,1160.02,3669,9389,-0.000423103,-0.000206094,-0.0560781
13,41.0133,0.249345,6,1155.01,3667,9391,0,0,0
14,50.797,0.201276,9.5022,1154.76,3666,9392,0.000418431,0.000198125,0.0560804
15,46.5176,0.220866,9.05213,1160.4,3673,9385,-0.000614284,0.0133925,-0.0507019
16,45.7083,0.223872,6.00577,1155.73,3670,9388,-0.000186754,0.0135986,0.00537734
17,57.3585,0.178218,6.00264,1154.54,3663,9395,0.000236091,0.0137966,0.0614589
18,54.1454,0.189709,9.26488,1160.14,3669,9389,0.0131403,-0.014001,-0.0521183
19,44.031,0.232365,6.68795,1155.55,3670,9388,0.0135589,-0.0137905,0.00395892
20,48.8746,0.2093,5.99548,1155.35,3668,9390,0.0139728,-0.0135879,0.0600384
21,48.1181,0.213507,8.88422,1160.33,3669,9389,0.012949,-0.000401212,-0.0467483
22,43.0577,0.23755,5.98748,1155.22,3666,9392,0.013372,-0.000190762,0.00933004
23,53.9661,0.189535,6.28216,1155.23,3667,9391,0.0137903,1.17309e-05,0.0654107
24,44.5855,0.230498,7.07036,1160.7,3673,9385,0.0127597,0.0131989,-0.041379
25,48.0084,0.213058,9.35316,1155.25,3669,9389,0.0131872,0.0134093,0.0147006
26,91.4624,0.111823,9.46202,1155.14,3667,9391,-0.00502794,0.036156,0.0495521
27,53.9399,0.189696,7.49786,1155.66,3672,9386,-0.0138562,0.0142664,-0.0212208
28,55.7404,0.183583,8.98334,1155.75,3673,9385,-0.00904317,0.0059524,-0.0212123
29,70.9247,0.144259,9.17098,1155.59,3670,9388,-0.00511583,0.0222226,0.0290759
30,74.1261,0.138029,9.92966,1155.59,3670,9388,-0.000300934,0.0139075,0.0290838
31,77.9264,0.131298,8.92904,1155.59,3670,9388,0.00451397,0.00559243,0.0290913
32,110.848,0.0922463,8.09889,1154.88,3665,9393,0.00843873,0.0219089,0.0794098
33,119.33,0.0856989,9.66105,1155.01,3667,9391,0.0132555,0.0135929,0.0794168
34,129.525,0.0789555,9.80919,1155.04,3668,9390,0.0180723,0.00527678,0.0794234
35,54.581,0.188347,6.0225,1161.08,3674,9384,-0.0183454,0.00868527,-0.0503826
36,52.4313,0.196133,6.01463,1161.45,3672,9386,-0.0135335,0.000371852,-0.0503759
37,50.6952,0.202756,6.01032,1160.91,3669,9389,-0.00872163,-0.00794156,-0.0503697
38,42.8841,0.238544,6.00789,1155.38,3669,9389,-0.00481382,0.00831449,-5.67385e-06
39,41.0133,0.249345,6,1155.01,3667,9391,0,0,0
40,42.9128,0.238408,5.99762,1155.49,3668,9390,0.00481382,-0.00831449,5.23028e-06
41,50.1972,0.203589,5.99335,1154.24,3663,9395,0.00871915,0.00798725,0.0503994
42,51.9345,0.196786,5.98727,1154.28,3665,9393,0.0135349,-0.000328227,0.0504042
43,54.2805,0.188483,5.98485,1155.52,3668,9390,0.0183506,-0.00864371,0.0504084
44,133.438,0.0773287,9.62066,1165.42,3682,9376,-0.017998,-0.00520896,-0.0795098
45,122.123,0.0844916,9.7073,1165.39,3681,9377,-0.0131872,-0.0135218,-0.0795055
46,113.602,0.0908293,9.81606,1165.39,3681,9377,-0.00837639,-0.0218346,-0.0795016
47,78.4422,0.131035,7.13885,1160.91,3678,9380,-0.00448764,-0.00559272,-0.0290615
48,74.6363,0.137713,6.94554,1160.88,3677,9381,0.000325046,-0.0139066,-0.0290582
49,71.4681,0.143869,6.59678,1161.29,3676,9382,0.00513774,-0.0222205,-0.0290553
50,55.8287,0.184088,9.43119,1160.76,3677,9381,0.00902409,-0.00593355,0.0214148
51,54.0729,0.190049,9.41527,1160.66,3674,9384,0.0138387,-0.0142484,0.0214172
52,52.8313,0.194521,9.94746,1160.7,3675,9383,0.0186532,-0.0225633,0.0214192
53,41.0133,0.249345,6,1155.01,3667,9391,0,0,0
