Node31_X,Node31_Y,Node31_Z,Node26_X,Node26_Y,Node26_Z,Node27_X,Node27_Y,Node27_Z
-2.294049612E-06,-9.052892227E-07,-2.323791848E-06,-6.454315269E-07,-1.219843137E-06,-1.405106289E-06,-4.224204512E-06,-1.000739638E-06,-2.328765517E-06
-2.308831222E-06,-1.967846476E-06,5.892286504E-07,-3.168924983E-06,-2.193218712E-06,2.286622628E-06,-1.723830747E-06,-1.970617717E-06,1.3666606E-06
-2.323612842E-06,-3.030403779E-06,3.502249172E-06,-5.692418443E-06,-3.16659431E-06,5.97835157E-06,7.765430048E-07,-2.940495778E-06,5.062086731E-06
-2.293333357E-06,1.061655874E-06,-2.913933767E-06,7.407865435E-08,8.587451784E-07,-3.233363453E-06,-4.949843254E-06,1.078968973E-06,-4.155261363E-06
-2.308114949E-06,-9.013789393E-10,-9.132456913E-10,-2.4494148E-06,-1.146303965E-07,4.583654573E-07,-2.449469482E-06,1.090908732E-07,-4.598352544E-07
-2.322896566E-06,-1.063458645E-06,2.912107265E-06,-4.972908263E-06,-1.08800597E-06,4.150094378E-06,5.090428187E-08,-8.607872086E-07,3.235590866E-06
-2.292617071E-06,3.028600983E-06,-3.504075672E-06,7.93588835E-07,2.937333499E-06,-5.061620634E-06,-5.675481979E-06,3.158677547E-06,-5.981757234E-06
-2.307398685E-06,1.966043744E-06,-5.910551639E-07,-1.729904622E-06,1.963957925E-06,-1.369891719E-06,-3.175108227E-06,2.188799472E-06,-2.286331061E-06
-2.32218029E-06,9.034864651E-07,2.321965351E-06,-4.253398081E-06,9.90582352E-07,2.321837202E-06,-6.747344485E-07,1.218921379E-06,1.409095004E-06
1.406533079E-08,-9.043878483E-07,-2.3228786E-06,1.80398328E-06,-1.105212747E-06,-1.863471739E-06,-1.774735035E-06,-1.109830498E-06,-1.868930253E-06
-7.162696834E-10,-1.966945114E-06,5.90141907E-07,-7.195101793E-07,-2.078588321E-06,1.828257177E-06,7.256387301E-07,-2.079708589E-06,1.826495842E-06
-1.549788191E-08,-3.029502368E-06,3.503162427E-06,-3.243003639E-06,-3.051963894E-06,5.519986092E-06,3.226012496E-06,-3.049586675E-06,5.521921978E-06
1.478160169E-08,1.062557254E-06,-2.913020514E-06,2.523493459E-06,9.733755708E-07,-3.691728911E-06,-2.50037377E-06,9.698780967E-07,-3.695426113E-06
0,0,0,0,0,0,0,0,0
-1.478160154E-08,-1.062557254E-06,2.913020514E-06,-2.523493459E-06,-9.733755708E-07,3.691728911E-06,2.50037377E-06,-9.698780968E-07,3.695426113E-06
1.549788191E-08,3.029502368E-06,-3.503162427E-06,3.243003639E-06,3.051963894E-06,-5.519986092E-06,-3.226012496E-06,3.049586675E-06,-5.521921978E-06
7.162696834E-10,1.966945114E-06,-5.90141907E-07,7.195101793E-07,2.078588321E-06,-1.828257177E-06,-7.256387301E-07,2.079708589E-06,-1.826495842E-06
-1.406533938E-08,9.043878413E-07,2.322878601E-06,-1.803983275E-06,1.105212743E-06,1.863471747E-06,1.774735032E-06,1.109830511E-06,1.868930263E-06
2.32218029E-06,-9.034864651E-07,-2.321965351E-06,4.253398081E-06,-9.90582352E-07,-2.321837202E-06,6.747344485E-07,-1.218921379E-06,-1.409095004E-06
2.30739869E-06,-1.966043739E-06,5.91055155E-07,1.729904626E-06,-1.963957926E-06,1.369891721E-06,3.175108231E-06,-2.188799478E-06,2.286331042E-06
2.292617062E-06,-3.028600999E-06,3.504075634E-06,-7.935888395E-07,-2.937333519E-06,5.06162065E-06,5.675481966E-06,-3.158677508E-06,5.981757245E-06
2.322896568E-06,1.06345865E-06,-2.912107265E-06,4.972908262E-06,1.088005973E-06,-4.150094381E-06,-5.090428018E-08,8.607872039E-07,-3.235590867E-06
2.308114949E-06,9.013789393E-10,9.132456913E-10,2.4494148E-06,1.146303965E-07,-4.583654573E-07,2.449469482E-06,-1.090908732E-07,4.598352544E-07
2.293333357E-06,-1.061655874E-06,2.913933767E-06,-7.407865435E-08,-8.587451784E-07,3.233363453E-06,4.949843254E-06,-1.078968973E-06,4.155261363E-06
2.323612841E-06,3.030403762E-06,-3.502249177E-06,5.692418445E-06,3.166594296E-06,-5.978351557E-06,-7.765430077E-07,2.940495794E-06,-5.062086724E-06
2.308831222E-06,1.967846476E-06,-5.892286504E-07,3.168924983E-06,2.193218712E-06,-2.286622628E-06,1.723830747E-06,1.970617717E-06,-1.3666606E-06
-4.666236327E-06,3.647813781E-06,7.225873406E-08,-4.493138488E-06,2.737770572E-06,-4.216398418E-07,-5.38816116E-06,4.935635798E-06,-4.142780668E-06
-7.264827456E-06,2.743385209E-06,-2.247201669E-06,-5.551278498E-06,1.935676474E-06,-2.029161766E-06,-1.002159664E-05,3.515186707E-06,-6.263381625E-06
-7.569368953E-06,2.74424581E-06,-2.242870146E-06,-5.963986962E-06,2.353425509E-06,-2.231577397E-06,-1.043082761E-05,3.095477242E-06,-6.055217051E-06
3.20005322E-07,2.758522908E-06,-2.23909377E-06,2.650590417E-06,2.324131362E-06,-3.944573429E-06,-1.816052758E-06,3.159187568E-06,-4.350371843E-06
1.546381645E-08,2.759383518E-06,-2.234762288E-06,2.237881951E-06,2.7418804E-06,-4.146989056E-06,-2.225283715E-06,2.739478114E-06,-4.142207294E-06
-2.890776875E-07,2.760244135E-06,-2.230430797E-06,1.825173486E-06,3.159629442E-06,-4.349404685E-06,-2.634514669E-06,2.319768654E-06,-3.934042742E-06
7.600296574E-06,2.774521221E-06,-2.226654414E-06,1.043975087E-05,3.130335279E-06,-6.062400708E-06,5.980260136E-06,2.383478983E-06,-2.229197485E-06
7.295755083E-06,2.775381873E-06,-2.222322937E-06,1.00270424E-05,3.548084342E-06,-6.264816352E-06,5.57102919E-06,1.963769498E-06,-2.02103295E-06
6.991213573E-06,2.776242457E-06,-2.217991433E-06,9.614333928E-06,3.965833362E-06,-6.467231969E-06,5.161798221E-06,1.544060069E-06,-1.812868384E-06
-6.975749756E-06,-1.68589428E-08,-1.677083937E-08,-7.376451968E-06,-1.223952965E-06,2.320242923E-06,-7.387081942E-06,1.195418039E-06,-2.329338889E-06
-7.280291261E-06,-1.599834941E-08,-1.243931815E-08,-7.789160437E-06,-8.062039362E-07,2.1178273E-06,-7.796312912E-06,7.757085903E-07,-2.121174336E-06
-7.584832752E-06,-1.513769946E-08,-8.10786668E-09,-8.201868906E-06,-3.884548741E-07,1.915411657E-06,-8.205543862E-06,3.559991251E-07,-1.913009788E-06
3.045414962E-07,-8.605994204E-10,-4.331517274E-09,4.127084664E-07,-4.177490371E-07,2.024156244E-07,4.092309576E-07,4.197094636E-07,-2.081645378E-07
0,0,0,0,0,0,0,0,0
-3.045414966E-07,8.606013875E-10,4.331512111E-09,-4.127084657E-07,4.177490369E-07,-2.024156246E-07,-4.092309569E-07,-4.197094634E-07,2.08164539E-07
7.584832752E-06,1.513769946E-08,8.10786668E-09,8.201868906E-06,3.884548741E-07,-1.915411657E-06,8.205543862E-06,-3.559991251E-07,1.913009788E-06
7.280291254E-06,1.599832231E-08,1.243935217E-08,7.789160436E-06,8.062039204E-07,-2.117827292E-06,7.796312902E-06,-7.757085825E-07,2.12117434E-06
6.975749756E-06,1.685894275E-08,1.677083973E-08,7.376451968E-06,1.223952965E-06,-2.320242923E-06,7.387081942E-06,-1.195418039E-06,2.329338889E-06
-6.991213573E-06,-2.776242457E-06,2.217991433E-06,-9.614333928E-06,-3.965833362E-06,6.467231969E-06,-5.161798221E-06,-1.544060069E-06,1.812868384E-06
-7.295755083E-06,-2.775381873E-06,2.222322937E-06,-1.00270424E-05,-3.548084342E-06,6.264816352E-06,-5.57102919E-06,-1.963769498E-06,2.02103295E-06
-7.600296574E-06,-2.774521221E-06,2.226654414E-06,-1.043975087E-05,-3.130335279E-06,6.062400708E-06,-5.980260136E-06,-2.383478983E-06,2.229197485E-06
2.890776875E-07,-2.760244135E-06,2.230430797E-06,-1.825173486E-06,-3.159629442E-06,4.349404685E-06,2.634514669E-06,-2.319768654E-06,3.934042742E-06
-1.546381645E-08,-2.759383518E-06,2.234762288E-06,-2.237881951E-06,-2.7418804E-06,4.146989056E-06,2.225283715E-06,-2.739478114E-06,4.142207294E-06
-3.20005322E-07,-2.758522908E-06,2.23909377E-06,-2.650590417E-06,-2.324131362E-06,3.944573429E-06,1.816052758E-06,-3.159187568E-06,4.350371843E-06
7.569368952E-06,-2.744245822E-06,2.24287017E-06,5.96398696E-06,-2.353425515E-06,2.231577394E-06,1.04308276E-05,-3.095477246E-06,6.055217069E-06
7.264827456E-06,-2.743385201E-06,2.247201641E-06,5.551278503E-06,-1.935676471E-06,2.029161773E-06,1.002159665E-05,-3.515186705E-06,6.263381606E-06
6.960285957E-06,-2.742524592E-06,2.251533156E-06,5.138570037E-06,-1.517927432E-06,1.82674614E-06,9.612365687E-06,-3.934896167E-06,6.471546171E-06
0,0,0,0,0,0,0,0,0
