Node541_X,Node541_Y,Node541_Z,Node538_X,Node538_Y,Node538_Z,Node539_X,Node539_Y,Node539_Z
-1.290811514E-06,-2.909501503E-06,-2.712308386E-06,-2.487762224E-06,-5.005720295E-06,-3.67268672E-06,-4.946421815E-07,-1.02654976E-06,-2.408399388E-06
-2.199409454E-06,-2.368671795E-06,2.255040506E-07,-2.058928023E-06,-2.354903932E-06,4.22288992E-08,-2.589590324E-06,-2.651623179E-06,1.300339328E-06
-3.108007381E-06,-1.827842043E-06,3.163316477E-06,-1.630093835E-06,2.959124176E-07,3.757144519E-06,-4.684538505E-06,-4.276696589E-06,5.009078008E-06
-1.146412242E-06,-6.826238575E-07,-2.413952364E-06,-2.235157467E-06,-2.294923917E-06,-2.351442239E-06,-4.386328697E-07,9.693213968E-07,-1.885016538E-06
-2.055010193E-06,-1.417941491E-07,5.238601164E-07,-1.806323275E-06,3.5589245E-07,1.363473391E-06,-2.533580963E-06,-6.557520149E-07,1.823722214E-06
-2.963608147E-06,3.990355689E-07,3.461672568E-06,-1.377489071E-06,3.006708828E-06,5.078389003E-06,-4.628529141E-06,-2.280825441E-06,5.532460893E-06
-1.002012985E-06,1.544253773E-06,-2.115596272E-06,-1.982552718E-06,4.158724749E-07,-1.03019774E-06,-3.826235001E-07,2.965192559E-06,-1.361633652E-06
-1.910610966E-06,2.085083527E-06,8.222162412E-07,-1.553718519E-06,3.066688842E-06,2.684717896E-06,-2.477571604E-06,1.340119131E-06,2.347105099E-06
-2.819208892E-06,2.625913203E-06,3.760028638E-06,-1.124884318E-06,5.717505216E-06,6.399633496E-06,-4.572519794E-06,-2.849542827E-07,6.055843768E-06
7.641987009E-07,-2.767707345E-06,-3.236168545E-06,-6.814389556E-07,-5.361612764E-06,-5.036160114E-06,2.038938786E-06,-3.707977382E-07,-4.232121593E-06
-1.443992508E-07,-2.226877655E-06,-2.983560817E-07,-2.526047537E-07,-2.710796387E-06,-1.321244491E-06,-5.600935419E-08,-1.995871156E-06,-5.233828762E-07
-1.052997211E-06,-1.686047923E-06,2.639456392E-06,1.762294482E-07,-5.998001593E-08,2.393671128E-06,-2.150957489E-06,-3.620944581E-06,3.185355839E-06
