Node8_X,Node8_Y,Node8_Z,Node3_X,Node3_Y,Node3_Z,Node4_X,Node4_Y,Node4_Z
-2.863600778E-06,-2.597232786E-06,-3.806657338E-06,-4.570500249E-06,3.884885696E-07,-6.091073458E-06,-1.170505048E-06,-5.65403942E-06,-6.404235538E-06
-1.91413751E-06,-2.071896768E-06,-8.426304591E-07,-2.467533639E-06,-1.312083955E-06,-2.350845554E-06,-1.557465364E-06,-3.051162901E-06,-2.682001026E-06
-9.6467425E-07,-1.546560772E-06,2.121396372E-06,-3.645669749E-07,-3.012656495E-06,1.389382376E-06,-1.944425669E-06,-4.482863216E-07,1.040233512E-06
-3.008547862E-06,-3.78548609E-07,-3.494396098E-06,-4.636259096E-06,2.375793724E-06,-5.573705885E-06,-1.42965775E-06,-2.943958913E-06,-5.090911914E-06
-2.059084579E-06,1.467874611E-07,-5.303691995E-07,-2.533292555E-06,6.752212841E-07,-1.833477945E-06,-1.816618058E-06,-3.410823996E-07,-1.368677414E-06
-1.109621304E-06,6.721234846E-07,2.433657664E-06,-4.303259693E-07,-1.025351189E-06,1.90675001E-06,-2.203578371E-06,2.261794139E-06,2.353557104E-06
-3.153494922E-06,1.840135641E-06,-3.182134837E-06,-4.702018081E-06,4.363099054E-06,-5.056338231E-06,-1.688810437E-06,-2.338784281E-07,-3.777588325E-06
-2.204031646E-06,2.365471671E-06,-2.18107882E-07,-2.599051501E-06,2.66252657E-06,-1.316110322E-06,-2.07577075E-06,2.368998088E-06,-5.535379918E-08
-1.254568376E-06,2.890807709E-06,2.745918913E-06,-4.960849122E-07,9.619540776E-07,2.424117636E-06,-2.462731067E-06,4.971874635E-06,3.666880702E-06
-8.045162094E-07,-2.744020271E-06,-3.276288131E-06,-2.037207628E-06,-2.867327978E-07,-4.257595559E-06,6.461130109E-07,-5.312957017E-06,-5.035558107E-06
1.449470748E-07,-2.218684213E-06,-3.122612703E-07,6.57588838E-08,-1.987305216E-06,-5.17367583E-07,2.59152691E-07,-2.710080512E-06,-1.313323624E-06
1.094410344E-06,-1.693348187E-06,2.651765625E-06,2.168725524E-06,-3.687877754E-06,3.222860305E-06,-1.278076206E-07,-1.072039654E-07,2.408910911E-06
-9.494632792E-07,-5.253360515E-07,-2.964026885E-06,-2.10296656E-06,1.70057246E-06,-3.74022794E-06,3.869603147E-07,-2.602876519E-06,-3.722234507E-06
0,0,0,0,0,0,0,0,0
9.494632792E-07,5.253360517E-07,2.964026885E-06,2.102966559E-06,-1.700572459E-06,3.74022794E-06,-3.869603146E-07,2.602876519E-06,3.722234507E-06
-1.094410344E-06,1.693348187E-06,-2.651765625E-06,-2.168725524E-06,3.687877754E-06,-3.222860305E-06,1.278076206E-07,1.072039654E-07,-2.408910911E-06
-1.449470748E-07,2.218684213E-06,3.122612703E-07,-6.57588838E-08,1.987305216E-06,5.17367583E-07,-2.59152691E-07,2.710080512E-06,1.313323624E-06
8.04516201E-07,2.744020244E-06,3.276288125E-06,2.037207689E-06,2.867327338E-07,4.257595536E-06,-6.461130093E-07,5.31295703E-06,5.035558128E-06
1.254568376E-06,-2.890807709E-06,-2.745918913E-06,4.960849122E-07,-9.619540776E-07,-2.424117636E-06,2.462731067E-06,-4.971874635E-06,-3.666880702E-06
2.204031643E-06,-2.365471669E-06,2.181078521E-07,2.599051506E-06,-2.662526575E-06,1.316110324E-06,2.075770751E-06,-2.368998083E-06,5.535379969E-08
3.153494866E-06,-1.840135742E-06,3.182134741E-06,4.702018241E-06,-4.363099186E-06,5.056338177E-06,1.688810441E-06,2.338784879E-07,3.777588353E-06
1.109621304E-06,-6.721234786E-07,-2.43365766E-06,4.303259555E-07,1.025351201E-06,-1.906750008E-06,2.20357837E-06,-2.261794145E-06,-2.35355711E-06
2.059084579E-06,-1.467874611E-07,5.303691995E-07,2.533292555E-06,-6.752212841E-07,1.833477945E-06,1.816618058E-06,3.410823996E-07,1.368677414E-06
3.008547862E-06,3.78548609E-07,3.494396098E-06,4.636259096E-06,-2.375793724E-06,5.573705885E-06,1.42965775E-06,2.943958913E-06,5.090911914E-06
9.646742346E-07,1.546560746E-06,-2.121396403E-06,3.645670229E-07,3.012656461E-06,-1.389382384E-06,1.944425675E-06,4.482863503E-07,-1.040233502E-06
1.91413751E-06,2.071896768E-06,8.426304591E-07,2.467533639E-06,1.312083955E-06,2.350845554E-06,1.557465364E-06,3.051162901E-06,2.682001026E-06
-3.155026591E-06,1.094234449E-05,2.9897711E-06,-2.819288691E-06,9.020010256E-06,1.809365746E-06,-4.283051142E-06,1.434063507E-05,7.528622904E-06
-5.870190232E-06,8.089474024E-06,-8.150961873E-07,-7.552048142E-06,8.850765028E-06,-4.487053928E-06,-4.889090874E-06,8.542616147E-06,1.336640353E-06
-5.721753063E-06,7.833836349E-06,-8.133060806E-07,-7.71430717E-06,8.293031108E-06,-4.692400345E-06,-4.324625521E-06,8.398636646E-06,1.548893414E-06
-2.104062486E-06,6.39007027E-06,1.160284691E-06,-2.070878113E-06,5.748000841E-06,4.310204984E-07,-2.729516447E-06,7.944757044E-06,3.694175147E-06
-1.955625346E-06,6.134432598E-06,1.16207471E-06,-2.233137117E-06,5.190266846E-06,2.256740954E-07,-2.165051128E-06,7.800777558E-06,3.906428183E-06
